ticketno,alarmno,alarmtime,alarmlevel,alarmmsg_original,site,sysname,unit,slot,port,sva,root_cause_domain,root_cause_type
21122633.0,1669828528085,2022-12-01 02:17:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669829430336,2022-12-01 02:32:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669830328471,2022-12-01 02:47:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669831218152,2022-12-01 03:02:14+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669831462101,2022-12-01 03:06:18+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669832113612,2022-12-01 03:17:10+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669832117398,2022-12-01 03:17:13+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669832341908,2022-12-01 03:20:58+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669832411726,2022-12-01 03:22:08+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669832598301,2022-12-01 03:25:15+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669832667088,2022-12-01 03:26:23+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669833027778,2022-12-01 03:32:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669833030857,2022-12-01 03:32:27+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833184357,2022-12-01 03:35:01+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833427621,2022-12-01 03:39:04+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833551381,2022-12-01 03:41:08+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833635921,2022-12-01 03:42:32+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833718495,2022-12-01 03:43:55+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833808065,2022-12-01 03:45:24+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669833876649,2022-12-01 03:46:33+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669833943440,2022-12-01 03:47:39+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669834028858,2022-12-01 03:49:05+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834308915,2022-12-01 03:53:45+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834414406,2022-12-01 03:55:31+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834516149,2022-12-01 03:57:12+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834615950,2022-12-01 03:58:52+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834670930,2022-12-01 03:59:47+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834753650,2022-12-01 04:01:10+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669834819928,2022-12-01 04:02:16+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669834874619,2022-12-01 04:03:11+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669834982651,2022-12-01 04:04:59+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835034528,2022-12-01 04:05:51+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835169332,2022-12-01 04:08:06+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835221970,2022-12-01 04:08:58+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835480186,2022-12-01 04:13:17+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835606935,2022-12-01 04:15:23+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835710196,2022-12-01 04:17:07+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669835744310,2022-12-01 04:17:41+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669835774872,2022-12-01 04:18:11+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835880431,2022-12-01 04:19:57+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669835931013,2022-12-01 04:20:47+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836033935,2022-12-01 04:22:30+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836104587,2022-12-01 04:23:41+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836172571,2022-12-01 04:24:49+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836275138,2022-12-01 04:26:31+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836324976,2022-12-01 04:27:21+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836392444,2022-12-01 04:28:29+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836533458,2022-12-01 04:30:50+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836582464,2022-12-01 04:31:39+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669836628413,2022-12-01 04:32:25+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669836689471,2022-12-01 04:33:26+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836930611,2022-12-01 04:37:27+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669836987674,2022-12-01 04:38:24+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837123564,2022-12-01 04:40:40+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837208893,2022-12-01 04:42:05+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837278807,2022-12-01 04:43:15+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837379746,2022-12-01 04:44:56+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669837533983,2022-12-01 04:47:30+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669837665037,2022-12-01 04:49:41+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837836008,2022-12-01 04:52:32+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669837953521,2022-12-01 04:54:30+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838009857,2022-12-01 04:55:26+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838089939,2022-12-01 04:56:46+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838195210,2022-12-01 04:58:32+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838388042,2022-12-01 05:01:44+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669838428537,2022-12-01 05:02:25+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669838527282,2022-12-01 05:04:04+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838609572,2022-12-01 05:05:26+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669838971722,2022-12-01 05:11:28+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669839237880,2022-12-01 05:15:54+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669839345026,2022-12-01 05:17:41+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669839925929,2022-12-01 05:27:22+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669840092284,2022-12-01 05:30:09+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669840244627,2022-12-01 05:32:41+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21107780.0,1669840352228,2022-12-01 05:34:29+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669840493243,2022-12-01 05:36:50+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669840544819,2022-12-01 05:37:41+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669840629974,2022-12-01 05:39:06+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
18066400.0,913085876,2022-12-01 05:46:32+09:00,7,OPT-LOS,ACET,acok,EQPT,3.0,2.0,NSA,A,PowerFail
18066400.0,913085869,2022-12-01 05:46:32+09:00,4,PSU-FAIL,ACET,acok,EQPT,,,NSA,A,PowerFail
18066400.0,913085880,2022-12-01 05:46:32+09:00,7,ETH-LINK-FAIL,ACET,acok,EQPT,3.0,5.0,NSA,A,PowerFail
18066400.0,913085873,2022-12-01 05:46:32+09:00,4,PSU-FAIL,ACET,acok,EQPT,,,NSA,A,PowerFail
18066400.0,913085882,2022-12-01 05:46:32+09:00,7,ETH-LINK-FAIL,ACET,acok,EQPT,3.0,6.0,NSA,A,PowerFail
18066400.0,913086004,2022-12-01 05:46:47+09:00,7,ETH-LINK-FAIL,ACET,acok,EQPT,3.0,2.0,NSA,A,PowerFail
18066400.0,913086010,2022-12-01 05:46:48+09:00,5,AUTONEGO_MISMATCH,ACET,acok,EQPT,3.0,2.0,NSA,A,PowerFail
21107780.0,1669841097259,2022-12-01 05:46:54+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669841200109,2022-12-01 05:48:37+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669841339732,2022-12-01 05:50:56+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669841461664,2022-12-01 05:52:58+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669841617943,2022-12-01 05:55:34+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669841657293,2022-12-01 05:56:14+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669842023753,2022-12-01 06:02:20+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669842029368,2022-12-01 06:02:26+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669842077056,2022-12-01 06:03:13+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669842101052,2022-12-01 06:03:37+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669842706015,2022-12-01 06:13:42+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669842770410,2022-12-01 06:14:47+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21122633.0,1669842944135,2022-12-01 06:17:41+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669843281380,2022-12-01 06:23:18+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669843374031,2022-12-01 06:24:50+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669843660915,2022-12-01 06:29:37+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669843811437,2022-12-01 06:32:08+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21122633.0,1669843813423,2022-12-01 06:32:10+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669844184630,2022-12-01 06:38:21+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669844220474,2022-12-01 06:38:57+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669844290877,2022-12-01 06:40:07+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669844353174,2022-12-01 06:41:10+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669844558007,2022-12-01 06:44:34+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21122633.0,1669844729026,2022-12-01 06:47:25+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669845265159,2022-12-01 06:56:22+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21122633.0,1669845622177,2022-12-01 07:02:19+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669845672015,2022-12-01 07:03:08+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669845860478,2022-12-01 07:06:17+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669846135435,2022-12-01 07:10:52+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669846396539,2022-12-01 07:15:13+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21122633.0,1669846565668,2022-12-01 07:18:02+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669846620942,2022-12-01 07:18:57+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669847242844,2022-12-01 07:29:19+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669847267036,2022-12-01 07:29:43+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21122633.0,1669847411605,2022-12-01 07:32:08+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106424.0,1669847449031,2022-12-01 07:32:45+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21129912.0,1669847467022,2022-12-01 07:33:03+09:00,7,OPT-LOS,ADKJ,aeaz,EQPT,3.0,1.0,NSA,A,LinkCut
19157408.0,1661985187232,2022-12-01 07:33:56+09:00,4,PSU-FAIL,AEPS,afxi,EQPT,,,NSA,A,PowerFail
21106424.0,1669847661372,2022-12-01 07:36:18+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669847823595,2022-12-01 07:39:00+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669847959160,2022-12-01 07:41:15+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106424.0,1669848336784,2022-12-01 07:47:33+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669848430892,2022-12-01 07:49:07+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669848534365,2022-12-01 07:50:51+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669848569665,2022-12-01 07:51:26+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669848676294,2022-12-01 07:53:13+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669848761321,2022-12-01 07:54:38+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669848808582,2022-12-01 07:55:25+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669849107843,2022-12-01 08:00:24+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669849254488,2022-12-01 08:02:51+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106974.0,1669849451024,2022-12-01 08:06:07+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21107780.0,1669849467555,2022-12-01 08:06:24+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669849467176,2022-12-01 08:06:24+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106974.0,1669849615470,2022-12-01 08:08:52+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21106424.0,1669849615796,2022-12-01 08:08:52+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669849639037,2022-12-01 08:09:16+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669849674971,2022-12-01 08:09:51+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669849761587,2022-12-01 08:11:18+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106424.0,1669849811799,2022-12-01 08:12:08+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669849827200,2022-12-01 08:12:24+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669849951449,2022-12-01 08:14:28+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21107780.0,1669850052611,2022-12-01 08:16:09+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106974.0,1669850059945,2022-12-01 08:16:16+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21122633.0,1669850119293,2022-12-01 08:17:16+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21106974.0,1669850177256,2022-12-01 08:18:14+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21106424.0,1669850191274,2022-12-01 08:18:28+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21106974.0,1669850226499,2022-12-01 08:19:03+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21106974.0,1669850253469,2022-12-01 08:19:30+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21107780.0,1669850275825,2022-12-01 08:19:52+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106974.0,1669850377808,2022-12-01 08:21:34+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21106974.0,1669850436030,2022-12-01 08:22:32+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21107780.0,1669850447172,2022-12-01 08:22:44+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106974.0,1669850538295,2022-12-01 08:24:15+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21107780.0,1669850553566,2022-12-01 08:24:30+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
21106974.0,1669850623638,2022-12-01 08:25:40+09:00,5,LSP-LOC,AEOM,afwp,EQPT,1.0,1.0,NSA,A,LinkCut
21106424.0,1669850683735,2022-12-01 08:26:40+09:00,5,OPT-PWR-LOW,ADUA,aeqe,EQPT,1.0,7.0,NSA,A,LinkCut
21107780.0,1669850710041,2022-12-01 08:27:06+09:00,5,OPT-PWR-LOW,AECU,affb,EQPT,5.0,3.0,NSA,A,LinkCut
